mtSNP	Position	Info	Haplogroups
13762G	13762	VARIANT	H13a2b1,H13a2b2a,H13a2b2,H13a2b3,H13a2b4,H13a2b5,H13a2b
16391A	16391	VARIANT	H5s,N1a1b1,I1a1a1,I1a1a2,I1a1a3a,I1a1a3,I1a1a,I1a1b,I1a1c,I1a1d,I1a1e,I1a1,I1a,I1b,I1c1a,I1c1,I1c,I1e,I1f,I1,I2a1a,I2a1,I2a2,I2a3,I2a,I2b,I2c,I2d,I2e,I2f,I2,I3a1,I3a,I3b,I3c,I3d1,I3d,I3,I2'3,I4a1,I4a2,I4a,I4b,I4,I5a1a,I5a1b,I5a1c,I5a1,I5a2a,I5a2+16086,I5a2,I5a3,I5a4,I5a,I5b1,I5b,I5c1,I5c,I5,I6a,I6b,I6,I7,I,N1a1b,A2g1,A2g
11365C	11365	VARIANT	HV4a1a1,R0a2f1a,N22a,N22,A2b1,A2b,M69a,M69
6620C	6620	VARIANT	H2a1a2,J1c2d,T2b32,T2j1,R9b1a2b,B4a2a1,B4a2a2,B4a2a3,B4a2a,B4a2b1a,B4a2b1,B4a2b,B4a2,I1a1c,N11b,A2i,M4a,M4b,M4,M30e,E1a1a1a,E1a1a1b1,E1a1a1b2,E1a1a1b,E1a1a1c,E1a1a1,E1a1a,E1a1b1,E1a1b2,E1a1b3,E1a1b4,E1a1b,E1a1c,E1a1,M13a1a,M13a1b1,M13a1b,M13a1,M13a2,M13a,M19,M50a1,M50a2,M50a,M81,D4m1,L4b2a2a
9079G	9079	VARIANT	L3b1b1,L3b1b
12127A	12127	VARIANT	H2a1a1,H5c1a,H5c1,H5c2,H5c,J1c7a,J1c7,R8a1a2a,M29a,L0a1b1a1a,L0a1b1a1,L0a1b1a
6620G	6620	VARIANT	L3k1,L3k
8847T	8847	VARIANT	J1c3c1
6887T	6887	VARIANT	J1c9
3593C	3593	VARIANT	S5,G2b1a2,D4d
5423G	5423	VARIANT	M33a2a,M33a2
10034C	10034	VARIANT	H4a1a1a1a1,H4a1a1a1a,H4a1a1a1,F1a2a,F1a2,I1a1a1,I1a1a2,I1a1a3a,I1a1a3,I1a1a,I1a1b,I1a1c,I1a1d,I1a1e,I1a1,I1a,I1b,I1c1a,I1c1,I1c,I1d,I1e,I1f,I1,I2a1a,I2a1,I2a2,I2a3,I2a,I2b,I2c,I2d,I2e,I2f,I2,I3a1,I3a,I3b,I3c,I3d1,I3d,I3,I2'3,I4a1,I4a2,I4a,I4b,I4,I5a1a,I5a1b,I5a1c,I5a1,I5a2a,I5a2+16086,I5a2,I5a3,I5a4,I5a,I5b1,I5b,I5c1,I5c,I5,I6a,I6b,I6,I7,I
9911T	9911	VARIANT	H11a7
8182T	8182	VARIANT	H2a2a1e
7648T	7648	VARIANT	L3d1a1a1,L3d1a1a,L3d1a1b,L3d1a1,L3d1a2,L3d1a1'2,L3d1a
9078C	9078	VARIANT	H1af1a,F1e2,M69a
16390A	16390	VARIANT	H26a1b,H85,V21,J1c2e1,J1c2j,J1c3e1,J1c3e2,J1c3e,R7a1b2,R8a1a1d,R8b1a,R8b1,R8b2,R8b,R9b1a1a,R9b1a1,R9b1a2a,R9b1a2b,R9b1a2,R9b1a3,R9b1a,R9b1b,R9b1,F1a3a1a,F1a3a1,R11b1a,R11b1b,R11b1,B4a1a1a14,B4f1,B4f,U3a1a1,U3a1a,U3a1b,U3a1c1,U3a1c,U3a1,U3a2a1a,U3a2a1,U3a2a,U3a2,U3a3,U3a,N1b1a1,N1b1a2a,N1b1a2b,N1b1a2,N1b1a3,N1b1a4a,N1b1a4,N1b1a+16129,N1b1a5,N1b1a6,N1b1a7,N1b1a8a,N1b1a8b,N1b1a8,N1b1a+195,N1b1a,N1b1b1,N1b1b,N1b1,N1b2,N1b,N9b1b,X4,M5b2a,C5d1,E1a1a1a,E1a1a1b1,E1a1a1b2,E1a1a1b,E1a1a1c,E1a1a1,E1a1a,E1a1b1,E1a1b2,E1a1b3,E1a1b4,E1a1b,E1a1c,E1a1,E1a2a1,E1a2a2,E1a2a3,E1a2a4,E1a2a,E1a2+(16261),E1a2,E1a,E1,E2a1a,E2a1,E2a2,E2a,E2b1,E2b2,E2b,E2,E,G3a3,M13c,M27b1,M27b2a1,M27b2a,M27b2b1,M27b2b,M27b2c,M27b2,M27b,Q2a3a,M48,M52a1a,M52a1b1,M52a1b,M52a1,M52a,D1g1a,D1g1b,D1g1,D5a1a1,D5a1a2,D5a1a,D5a1,D5c1a,D5c1,L2a1a1,L2a1a2a1a,L2a1a2a1,L2a1a2a,L2a1a2b,L2a1a2c,L2a1a2,L2a1a3a,L2a1a3b,L2a1a3c,L2a1a3,L2a1a,L2a1b1a,L2a1b1,L2a1b2,L2a1b3,L2a1b+143,L2a1b,L2a1f1a,L2a1f1,L2a1f2,L2a1f3,L2a1f,L2a1g,L2a1+16189  (16192),L2a1c1a1,L2a1c1a2,L2a1c1a,L2a1c1,L2a1c6,L2a1c+16086,L2a1c2a,L2a1c2,L2a1c3a1,L2a1c3a,L2a1c3b1,L2a1c3b2,L2a1c3b,L2a1c3,L2a1c4a1,L2a1c4a,L2a1c4,L2a1c5,L2a1c+16129,L2a1c,L2a1d1,L2a1d2,L2a1d,L2a1h,L2a1+143+@16309,L2a1e1,L2a1e,L2a1i1,L2a1i,L2a1q,L2a1+143+16189  (16192)+@16309,L2a1j,L2a1k,L2a1l1a1,L2a1l1a2,L2a1l1a,L2a1l1b,L2a1l1,L2a1l2a1,L2a1l2a,L2a1l2,L2a1l3,L2a1l,L2a1m1a,L2a1m1,L2a1m,L2a1n,L2a1o,L2a1p,L2a1+143+16189  (16192),L2a1+143,L2a1,L2a2a1,L2a2a,L2a2b1a,L2a2b1,L2a2b2,L2a2b,L2a2,L2a3,L2a2'3,L2a4a,L2a4b,L2a4,L2a2'3'4,L2a1'2'3'4,L2a5,L2a,L2b1a2,L2b1a3,L2b1a4,L2b1a,L2b1b,L2b1,L2b2a,L2b2,L2b3a,L2b3b,L2b3c,L2b3,L2b,L2c1a,L2c1,L2c2a1,L2c2a,L2c2b1a,L2c2b1b,L2c2b1,L2c2b2,L2c2b,L2c2,L2c3a,L2c3,L2c4,L2c5,L2c,L2b'c,L2d1a,L2d1,L2d+16129,L2d,L2b'c'd,L2a'b'c'd,L2e1a,L2e1,L2e,L2,L0a2b1,L0a2b,L0d2a1a1a,L0d2a1a1,L0d2a1a2,L0d2a1a3,L0d2a1a,L0d2a1b,L0d2a1c,L0d2a1,L0d2a2,L0d2a
13630G	13630	VARIANT	U5b2b1a1,U5b2b1a2,U5b2b1a,U5b2b1b,U5b2b1,U5b2b2,U5b2b3a1a,U5b2b3a1,U5b2b3a,U5b2b3b,U5b2b3,U5b2b4a,U5b2b4,U5b2b5,U5b2b
13327G	13327	VARIANT	X2e2a1
2263A	2263	VARIANT	M73a1,M73a,M73b,M73
2395d	2395	DELETION	L1c1a1a1a,L1c1a1a1b1,L1c1a1a1b,L1c1a1a1,L1c1a1a2,L1c1a1a,L1c1a1b,L1c1a1,L1c1a2a1,L1c1a2a2,L1c1a2a,L1c1a2b,L1c1a2c,L1c1a2,L1c1a+@198,L1c1a,L1c1b1,L1c1b,L1c1d1,L1c1d,L1c1b'd,L1c1a'b'd,L1c1c,L1c1,L1c2a1a,L1c2a1b,L1c2a1,L1c2a2,L1c2a3a,L1c2a3,L1c2a,L1c2b1a1,L1c2b1a,L1c2b1b1,L1c2b1b,L1c2b1a'b,L1c2b1c,L1c2b1,L1c2b2,L1c2b,L1c2,L1c4a,L1c4b,L1c4,L1c2'4,L1c6,L1c1'2'4'6,L1c5,L1c1'2'4'5'6,L1c3a1a,L1c3a1b,L1c3a1,L1c3a,L1c3b1a,L1c3b1b,L1c3b1,L1c3b2,L1c3b,L1c3c,L1c3b'c,L1c3,L1c
3592A	3592	VARIANT	M60b,L0f2b
5557C	5557	VARIANT	R0a2k1,U5a1f2,U5b3c,Q2a1,Q2a2a,Q2a2b,Q2a2,Q2a3a,Q2a3b,Q2a3,Q2a4,Q2a
4221T	4221	VARIANT	V15a,V15
7954C	7954	VARIANT	M25,M52b1a,L1b1a2a,L1b1a2
12561A	12561	VARIANT	J1c6a,J1d4,U2a2,M7c1b1,M7c1b2a,M7c1b2b,M7c1b2,M7c1b,M35a1a,M35a1,M35a2,M35a,M35b1,M35b2,M35b3,M35b+16304,M35b4,M35b,M35+199,M35c,M35
11059T	11059	VARIANT	D4g2a1a,D4g2a1b,D4g2a1c,D4g2a1,L2a1l1a1
10031C	10031	VARIANT	R11a,R11b1a,R11b1b,R11b1,R11b,R11,B4a1a1h,U5b2a3a,U5b2a3,L1c2b1a1,L1c2b1a,L1c2b1b1,L1c2b1b,L1c2b1a'b,L1c2b1c,L1c2b1
14659T	14659	VARIANT	L0d1b2a1,L0d1b2a2,L0d1b2a,L0d1b2b1a,L0d1b2b1b1,L0d1b2b1b,L0d1b2b1,L0d1b2b2a,L0d1b2b2b1,L0d1b2b2b,L0d1b2b2c1,L0d1b2b2c2,L0d1b2b2c,L0d1b2b2,L0d1b2b,L0d1b2
3819T	3819	VARIANT	H5c2,B5b1c1a,B5b1c1,B5b1c,M21b2
4221A	4221	VARIANT	H73a1,H73a,H73
6755A	6755	VARIANT	HV6a,HV6,B2b1,B2b+152,B2b2a,B2b2,B2b3a,B2b3,B2b4,B2b,I1e,A11a,O1a,O1,O,M74b2,M52a1a,M52a1b1,M52a1b,M52a1
16260A	16260	VARIANT	M38d
497T	497	VARIANT	K1a1a1,K1a1a2a1,K1a1a2a,K1a1a2,K1a1a,K1a1b1a,K1a1b1b1,K1a1b1b,K1a1b1c,K1a1b1d,K1a1b1e,K1a1b1f,K1a1b1g,K1a1b1,K1a1b2a1a,K1a1b2a1,K1a1b2a,K1a1b2b,K1a1b2,K1a1b,K1a1c,K1a1,K1a2a1,K1a2a2,K1a2a,K1a2b,K1a2c,K1a2,K1a3a1a,K1a3a1b,K1a3a1,K1a3a2,K1a3a3,K1a3a4,K1a3a,K1a3,K1a4a1a1,K1a4a1a3,K1a4a1a+195,K1a4a1a2a,K1a4a1a2b,K1a4a1a2,K1a4a1a,K1a4a1b1,K1a4a1b2,K1a4a1b,K1a4a1c1,K1a4a1c,K1a4a1d,K1a4a1e,K1a4a1f1,K1a4a1f,K1a4a1g,K1a4a1h,K1a4a1i,K1a4a1,K1a4a,K1a4b1,K1a4b,K1a4c1,K1a4c,K1a4d,K1a4e,K1a4f1,K1a4f,K1a4g,K1a4h1,K1a4h,K1a4i,K1a4j1,K1a4j,K1a4+146,K1a4,K1a5a,K1a5b,K1a5,K1a6,K1a7,K1a8a1,K1a8a,K1a8b,K1a8,K1a9,K1a10a,K1a10,K1a13a,K1a13,K1a14,K1a15,K1a16,K1a26,K1a+195,K1a11a1,K1a11a,K1a11b,K1a11,K1a24a,K1a24,K1a30a,K1a30,K1a31,K1a+150,K1a12a1a,K1a12a1,K1a12a,K1a12,K1a17a,K1a17,K1a18,K1a19a,K1a19,K1a23,K1a25,K1a27,K1a28,K1a29a,K1a29,K1a
4790G	4790	VARIANT	J1c2a3,D1d1,D1d2,D1d
7517G	7517	VARIANT	H5a1g1a
15725T	15725	VARIANT	J1c1b2a,J1c1b2
15193G	15193	VARIANT	F1b1a1a3,M27a2a,M27a2b,M27a2
6092C	6092	VARIANT	N9a11,N11b,M33b1
3591A	3591	VARIANT	H9a,U1a1a1a,U1a1a1,U1a1a2,U1a1a3,U1a1a+16129,U1a1a,U5a1h,U6a5a1,U6a5a,U6a5b,U6a5c,U6a5,I2e,A2p2,M38b,C5a1,C5a2a,C5a2b1,C5a2b,C5a2,C5a,G2b2c,M27b1,M27b2a1,M27b2a,M27b2b1,M27b2b,M27b2c,M27b2,M27b,M52a1b1,M52a1b,D4b2a2a2,L0d1c3
14527G	14527	VARIANT	M51a2,M32c
9383T	9383	VARIANT	M39a1
5558G	5558	VARIANT	H1bu,T1a1a1,T1a1a,T1a2a,M6a1a,M6a1b,M6a1,M6a2,M6a,M6b,M6,L0a2a1b
498d	498	DELETION	B2d,K1c1a,K1c1b,K1c1c,K1c1d,K1c1e,K1c1f,K1c1g,K1c1h,K1c1i,K1c1,K1c2a,K1c2,K1c,L0d1a1a1,L0d1a1a2,L0d1a1a3,L0d1a1a,L0d1a1b1a,L0d1a1b1b,L0d1a1b1,L0d1a1b,L0d1a1c,L0d1a1d,L0d1a1,L0d1a,L0d1d,L0d1a'd,L0d1c1a1a1,L0d1c1a1a2,L0d1c1a1a,L0d1c1a1b,L0d1c1a1,L0d1c1a2,L0d1c1a,L0d1c1,L0d1c2a1,L0d1c2a,L0d1c2,L0d1c3,L0d1c,L0d1a'c'd,L0d1b1a1,L0d1b1a,L0d1b1b1,L0d1b1b,L0d1b1c,L0d1b1+@152,L0d1b1,L0d1b2a1,L0d1b2a2,L0d1b2a,L0d1b2b1a,L0d1b2b1b1,L0d1b2b1b,L0d1b2b1,L0d1b2b2a,L0d1b2b2b1,L0d1b2b2b,L0d1b2b2c1,L0d1b2b2c2,L0d1b2b2c,L0d1b2b2,L0d1b2b,L0d1b2,L0d1b,L0d1,L0d2a1a1a,L0d2a1a1,L0d2a1a2,L0d2a1a3,L0d2a1a,L0d2a1b,L0d2a1c,L0d2a1,L0d2a2,L0d2a,L0d2b1a1a,L0d2b1a1,L0d2b1a,L0d2b1b,L0d2b1,L0d2b2,L0d2b,L0d2d,L0d2a'b'd,L0d2c1a1,L0d2c1a,L0d2c1b,L0d2c1,L0d2c2a1a,L0d2c2a1,L0d2c2a,L0d2c2b,L0d2c2,L0d2c,L0d2,L0d1'2
8715C	8715	VARIANT	H28a1,H28a2,H28a,T2a1a1,L0d1b2b1a
12693G	12693	VARIANT	L2a1a1,L2a1a2a1a,L2a1a2a1,L2a1a2a,L2a1a2b,L2a1a2c,L2a1a2,L2a1a3a,L2a1a3b,L2a1a3c,L2a1a3,L2a1a,L2a1b1a,L2a1b1,L2a1b2,L2a1b3,L2a1b+143,L2a1b,L2a1f1a,L2a1f1,L2a1f2,L2a1f3,L2a1f,L2a1g,L2a1+16189  (16192),L2a1c1a1,L2a1c1a2,L2a1c1a,L2a1c1,L2a1c6,L2a1c+16086,L2a1c2a,L2a1c2,L2a1c3a1,L2a1c3a,L2a1c3b1,L2a1c3b2,L2a1c3b,L2a1c3,L2a1c4a1,L2a1c4a,L2a1c4,L2a1c5,L2a1c+16129,L2a1c,L2a1d1,L2a1d2,L2a1d,L2a1h,L2a1+143+@16309,L2a1e1,L2a1e,L2a1i1,L2a1i,L2a1q,L2a1+143+16189  (16192)+@16309,L2a1j,L2a1k,L2a1l1a1,L2a1l1a2,L2a1l1a,L2a1l1b,L2a1l1,L2a1l2a1,L2a1l2a,L2a1l2,L2a1l3,L2a1l,L2a1m1a,L2a1m1,L2a1m,L2a1n,L2a1o,L2a1p,L2a1+143+16189  (16192),L2a1+143,L2a1
15724G	15724	VARIANT	D5b1a1,D5b1a2,D5b1a,D5b1b1,D5b1b2,D5b1b,D5b1c1,D5b1c,D5b1d,D5b1,D5b2,D5b3a1,D5b3a,D5b3,D5b4,D5b
16392C	16392	VARIANT	M7c1c3f
499A	499	VARIANT	T2c1a1,T2f5,B2a1a1,B2a1a,B2a1b,B2a1,B2a2,B2a3,B2a4a1,B2a4a,B2a4,B2a5,B2a,B2b1,B2b+152,B2b2a,B2b2,B2b3a,B2b3,B2b4,B2b,B2c1a,B2c1b,B2c1c,B2c1,B2c2a,B2c2b,B2c2,B2c,B2d,B2e,B2f,B2g1,B2g2,B2g,B2h,B2i1,B2i2a1a,B2i2a1b,B2i2a1,B2i2a,B2i2b1,B2i2b,B2i2,B2i,B2j,B2k,B2l,B2m,B2n,B2o1a,B2o1,B2o,B2p,B2q,B2r,B2s,B2t,B2u,B2v,B2w,B2+16278,B2x,B2y1,B2y,B2,B4b1a1a,B4b1a1b,B4b1a1c,B4b1a1,B4b1a2a,B4b1a2b1,B4b1a2b2,B4b1a2b,B4b1a2c,B4b1a2d,B4b1a2e,B4b1a2f,B4b1a2g1,B4b1a2g,B4b1a2h,B4b1a2i,B4b1a2,B4b1a3a,B4b1a3,B4b1a+207,B4b1a,B4b1b,B4b1c1,B4b1c2,B4b1c,B4b1b'c,B4b1,B4b,U4a1a1,U4a1a2,U4a1a3,U4a1a,U4a1b1a,U4a1b1,U4a1b2,U4a1b,U4a1c,U4a1d,U4a1e,U4a1,U4a2a1,U4a2a2,U4a2a3,U4a2a,U4a2b,U4a2c1,U4a2c,U4a2d,U4a2e,U4a2f,U4a2g,U4a2h1,U4a2h,U4a2,U4a3a,U4a3,U4a,U4b1a1a1,U4b1a1a,U4b1a1,U4b1a2a,U4b1a2b,U4b1a2,U4b1a3a,U4b1a3,U4b1a4,U4b1a,U4b1b1a,U4b1b1b,U4b1b1c,U4b1b1+16311,U4b1b1d,U4b1b1,U4b1b2,U4b1b,U4b1+146  152,U4b1,U4b2a1a,U4b2a1,U4b2a,U4b2,U4b3,U4b,U4c1a,U4c1,U4c2a,U4c2,U4c,U4d1a1a,U4d1a1,U4d1a,U4d1b,U4d1,U4d2,U4d3,U4d,U4,U9a1,U9a,U9b1,U9b,U9,U4'9,A2af1a2,M79,D1g5,L0g
12123T	12123	VARIANT	J1c16,R9c1a3
4833G!	4833	BACKMUTATION	G1a3,G2a1d2a,G2a1d2
10828C	10828	VARIANT	L2b1a2,L2b1a3,L2b1a4,L2b1a,L2b1b,L2b1
15061G	15061	VARIANT	B4a1a1ad,U2c1a,U2c1b,U2c1,U2c,L3d1a2,L3d3a1a,L3d3a1b,L3d3a1,L3d3a,L3d3b,L3d3,M70
11362G	11362	VARIANT	N1b1a1,N1b1a2a,N1b1a2b,N1b1a2,N1b1a3,N1b1a4a,N1b1a4,N1b1a+16129,N1b1a5,N1b1a6,N1b1a7,N1b1a8a,N1b1a8b,N1b1a8,N1b1a+195,N1b1a
1193C	1193	VARIANT	U6a7a1a,U6a7a1b,U6a7a1c,U6a7a1+@152,U6a7a1,U6a7a2a,U6a7a2,U6a7a,C1b13a1,C1b13a,M61a,M61
3817T	3817	VARIANT	R7b2,M32a
13890T	13890	VARIANT	M11b1a1,M11b1a,M11b1,M11b2,M11b
8188G	8188	VARIANT	H5b4,H87,K3,N8,C5d1,Z2,L5a1a,L5a1b,L5a1c,L5a1,L5a2,L5a,L0a1c1
5426C	5426	VARIANT	T2b24a,T2f1a1,T2f1a,U2e1a1a,U2e1a1b,U2e1a1c,U2e1a1,U2e1a,U2e1b1,U2e1b2,U2e1b,U2e1c1,U2e1c,U2e1d,U2e1e,U2e1f1,U2e1f,U2e1g,U2e1h,U2e1,U2e2a1a1,U2e2a1a2,U2e2a1a,U2e2a1b,U2e2a1c,U2e2a1d,U2e2a1,U2e2a,U2e2,U2e3a,U2e3,U2e1'2'3,U2e,M2a3a,M2a3,M35a1a,M35a1
234G	234	VARIANT	R11b1b,R14,R31b,U2b2,N5a,S5,M8a2d,M14,M27a1a1,M27a1a2,M27a1a,M27a1b,M27a1,M27a2a,M27a2b,M27a2,M27a3,M27a,M28a5b,M31c,M42b1a,M42b1,M42b2,M42b,M76a
16083T	16083	VARIANT	A2z
9120G	9120	VARIANT	J1c4b,J1c14,T1a1c,B4d3a1,B4d3a,B4d3
8718G	8718	VARIANT	H3aj,F1a3b,M71a1a,M71a1,M71a2,M71a,M71b,M71+151,M71c,M71
9386C	9386	VARIANT	H5a1c2,R12,I1c1a,I1c1,D4g2b1a
15852C	15852	VARIANT	O1a,O1,L0f1,L0f2a1,L0f2a,L0f2b,L0f2,L0f
5427G	5427	VARIANT	X2b6a
15547T	15547	VARIANT	I1a1a1,M76a
16082T	16082	VARIANT	W4d,D4j7a,D4j7
